id_number,B201839712
categorize,Collision Processes
collision_data_categorize,Rate Coefficient
collision_process,Reaction
sub_process,State Selectivity
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,CS2 + H3O1+ -> CS2H1+ + H2O
reference_number,2018000168
author,Patrik pan¨§l### David Smith
title_of_record,Selected ion flow tube studies of the reactions of H3O+, NO+, and O2+ with some organosulphur molecules
journal_name,International Journal of Mass Spectrometry and Ion Processes
volume_and_issue_No,176
page_number,167
date_of_publication,1998
