H-1+ + Kr --> H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,2.750000e-17,0.000000e+00,0.000000e+00
7.000000e+03,4.500000e-17,0.000000e+00,0.000000e+00
9.000000e+03,7.700000e-17,0.000000e+00,0.000000e+00
1.100000e+04,1.000000e-16,0.000000e+00,0.000000e+00
1.300000e+04,1.100000e-16,0.000000e+00,0.000000e+00
1.500000e+04,1.200000e-16,0.000000e+00,0.000000e+00
2.000000e+04,1.220000e-16,0.000000e+00,0.000000e+00
2.500000e+04,1.250000e-16,0.000000e+00,0.000000e+00
3.000000e+04,1.250000e-16,0.000000e+00,0.000000e+00
3.500000e+04,1.260000e-16,0.000000e+00,0.000000e+00
4.000000e+04,1.265000e-16,0.000000e+00,0.000000e+00
